OJO NO USAR ESTE,referencias ,,,PEDIDO SUR ,PEDIDO NORTE,,INVENT SUR mar 21,INVENT NTE ,FECHA VCMTO,PRECIO COMPRA,     precio venta ,IVA,PRECIO MALTERO,%,VR PEDIDO 
ADHESIVO PEAK UNIVERSAL 4ML,,,,0,0,GABRIEL VELASQUEZ PLUSS DENT,0,0,,$102.401,$140.000,EXC,,"0,37",$0
Adhesivo por uniporcion,,,,0,0,ABRAHAM,,0,,$5.100,$7.000,,,"0,37",$0
ADHESIVO TETRIC N BOND,,,,,,EMMA MASDENTAL  EURODENT,,0,,$119.000,$148.000,,,"0,24",$0
Adhesivo tetric N-Bond Universal ivoclar 6ML,,,,,,EMMA MASDENTAL EURODENT,,0,,$236.500,$295.000,,,"0,25",$0
ADHESIVO UNIVERSAL Solare bond 5ml,,,,0,0,La muela,,4,06-2025,$140.800,$176.000,EXC,,"0,25",$0
Adhesivo Universal Zafira 8ml,,u,,,,New Stetic,10,,09-2026,$110.000,$165.000,exc,,"0,50",$0
adseal ,,,,0,0,ABRAHAM dora,,0,,$120.000,$150.000,,,"0,25",$0
adseal porcion o Roeko x caja ,,AGOTADO,,0,,ramon gabriel ,,,,$2.915,$6.000,,,"1,06",$0
Agua desionizada por galon ,,,,,,PROQUIDENT,,1,,$12.626,$18.000,,,"0,43",$0
Agua esteril x 5 ml,,,,0,0,ALLERS,,30,05-2027,$669,$1.000,"1,19",,"0,49",$0
Agua oxigenada JGB X 120 ML,Allers $3749,,,0,0,ALLERS - CENTRO 40mil,,,,$2.859,$5.000,exc,,"0,75",$0
AGUA OXIGENADA OSA 120 ML,,,,0,,CENTRO 40mil,,,,$2.000,$4.000,,,"1,00",$0
aguja monoject CAJA X100,,,,0,0,ABRAHAM,,6,07-2027,$135.479,$170.000,,,"0,25",$0
aguja monoject unidad,,,,0,0,ABRAHAM,,0,,$1.955,$3.000,,,"0,53",$0
aguja monoject x 100,la muela unidad 1018 caja $101800 / imporq $18000 / abraham $135.500,,,0,4,abraham - IMPORQ  la muela ,,0,,$1.018,$3.000,,,"1,95",$4.072
Aguja sutura # 14  x PAQUETE,ramon $750 Aquiles $932,,,0,,RAMON AQUILES,,,,$932,$1.500,,,"0,61",$0
Aguja sutura # 15 X PAQUETE,ramon $817 Aquiles $932,,,0,,RAMON AQUILES,,,,$932,$1.500,,,"0,61",$0
Aguja sutura # 16 X paquete,ramon $750 Aquiles $932,,,0,,RAMON AQUILES,,,,$932,$1.500,,,"0,61",$0
agujas Cortas 30G - 25 MM CAJA,precio SPT/23 - La muela $22100 New Stetic $21539 $Abraham $21600 imporq 21000,,,,,abraham imporq new stetic LA MUELA,0,22,10-2028,$21.539,$32.000,"0,19",$26.000,"0,49",$0
agujas Largas 27G -  30 MM  CAJA,precio SPT/23 - La muela $22100 New Stetic $21539 $Abraham $33180 imporq 21001,,,,,abraham imporq new stetic LA MUELA,0,21,10-2028,$21.539,$32.000,@,$26.000,"0,49",$0
agujas PEDIATRICA  - 12 MM CAJA,,,,0,0,ABRAHAM,,0,,$21.600,$30.000,,,"0,39",$0
